Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,EIF4E DN,0.5911070557443756,1.996964393574504,0.0,0.0,0.0,23/100,33.44%,CCAR1;TPD52;C3;CD55;FXR1;NPEPPS;USP47;ESRP1;RANBP2;CWC22;CLINT1;PARP8;LMO7;STRBP;CLTC;WDFY3;SCAMP1;UPF2;NCOA6;DCTN4;PRRC2C;TNIP1;OFD1
prerank,PIGF UP.V1 UP,0.50487854587839,1.878283288182417,0.0,0.014,0.03,42/191,35.71%,NRCAM;SCAF11;HSD17B4;PDCD10;UFL1;AIMP1;UGP2;SMC4;PPID;ACADM;RNF6;PHF3;MAP2K4;TTC37;SP3;TWF1;GMFB;TMED5;IL6ST;OPA1;MARK2;CRYBG3;CD2AP;RNF13;N4BP2L2;DNAJC3;HIF1A;THOC2;SLC38A6;AGL;RIPK2;UPF2;SLC33A1;RAP1A;ANAPC13;IREB2;DHX29;BCLAF1;PAPOLA;PISD;RECQL;ATP13A3
prerank,VEGF A UP.V1 DN,0.5171151891312775,1.8604805613616755,0.0,0.009333333333333334,0.03,37/193,35.71%,ST13;MMP14;SCAF11;ATIC;PNN;UFL1;AIMP1;UGP2;SMC4;ACADM;NBN;RNF6;YES1;TTC37;DNAJC13;TWF1;DHFR;DKK1;SLC30A9;BCL10;PRPF40A;XRCC4;NUP50;UAP1;MAP1B;THOC2;MBD4;RAP1A;KIF23;BAZ1A;HMMR;TRIM25;DHX29;BCLAF1;PAPOLA;RECQL;ATP13A3
prerank,E2F3 UP.V1 UP,-0.4793188094006411,-1.8556329723297802,0.0,0.07924528301886793,0.05,7/196,15.29%,SAC3D1;ZDHHC12;FBXL16;NGEF;ARRDC2;MMP15;NUDT22
prerank,P53 DN.V1 UP,0.44891201427329586,1.709020815858236,0.0,0.09100000000000001,0.34,23/194,22.54%,SPINT2;RRAS2;EPCAM;UCHL1;LSR;IGFBP6;AHR;CDKN2A;TUBA4A;DAAM1;TPBG;ITGB4;YES1;AXL;DKK1;TJP2;PITX1;FYN;MARK2;CD9;BCL10;YAP1;RABGAP1L
prerank,RB P130 DN.V1 DN,0.45964835379665375,1.70598280980215,0.0,0.07466666666666666,0.34,25/139,27.74%,CLU;DDX3X;SEC24C;TMEM123;RASA1;DYNC1I2;MFN1;ZDHHC20;CAPZA2;USP47;DDX46;B2M;PNRC2;KLK6;CSDE1;SEC23A;PRPF38B;ANKFY1;SNX2;FBXO28;EIF3J;CLIP1;WDR26;STAT1;SCAMP1
prerank,CRX NRL DN.V1 DN,0.47022581067580266,1.701709846471515,0.0,0.07,0.37,16/130,20.87%,PLEC;NTN4;SGCE;GTF2I;AP2B1;ARPC3;ZNF146;ECE1;INPPL1;CAP1;PDIA3;ENC1;CRYBG3;ZNF600;TNFRSF12A;ACBD6
prerank,TBK1.DF DN,0.4009460856937705,1.6840546962193117,0.010101010101010102,0.07066666666666667,0.4,54/287,33.24%,BNIP2;TAF15;SCAF11;ANKRD11;CHMP2B;EXOC5;AMMECR1;UFL1;AGFG1;TEAD1;CUL5;TMOD3;YES1;PRRC2B;SPIN1;SLC35A5;KTN1;TBK1;DKK1;BPTF;SLK;NAA35;CRK;ANKFY1;RSRC1;GOLGA4;THBS1;LMO4;ELL2;CD2AP;ATP6V1C1;RSF1;PRKRA;MFSD6;PMEPA1;LUC7L3;DNAJC3;RPAP3;IGF2BP3;THOC2;UGGT1;LIMS1;COPS4;CBFB;ITCH;PRKD3;EHF;NF1;USP22;SEMA3C;PLEKHA1;SLC39A8;SLC25A13;MED13L
prerank,CORDENONSI YAP CONSERVED SIGNATURE,0.5496945221481457,1.6834422217773308,0.0,0.061833333333333344,0.4,10/57,21.55%,GLS;HEXB;TSPAN3;FLNA;ASAP1;AXL;SH2D4A;STMN1;THBS1;NDRG1
prerank,PRC2 EZH2 UP.V1 DN,0.436632628702727,1.5701189228595167,0.02531645569620253,0.18044444444444446,0.78,11/194,25.38%,AMMECR1;TUBA4A;KYNU;PIK3CB;ERAP2;IDS;PMEPA1;CCNJL;CLIP1;TRAF3IP1;AHNAK2
