Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",0.6051827360444931,2.919713323327724,0.0,0.0,0.0,78/113,30.60%,RPS20;SMG1;CASC3;RPL7;RPL19;PPP2R1A;RPS8;RNPS1;RPS5;RPL8;RPS3;RPL4;RPS3A;UPF2;RPL17;RPS23;SMG8;RPL41;RPS21;RPS18;RPL30;RPL3;RPL6;RPS4X;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;GSPT1;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;SMG9;RPL28;RPS2;RPL24;RPS17;RPS24;PABPC1;RPS6;RPL13;EIF4A3;RPS11;RPL12;RPL37A;EIF3E;MAGOH;RPL10A;RPL11;RPL13A;RPL23;RPL35;PNRC2;RPL34;RPS16;RPL36;RPL29;RPL26;EIF4G1;RPL31;RPL22;RPLP2;RBM8A;RPL23A;RPL38;RPL15;RPL27A;RPS25;RPL35A;SMG5;ETF1;RPL7A;RPS12
prerank,cytoplasmic translation (GO:0002181),0.6114248031123872,2.81023808553744,0.0,0.0,0.0,68/93,30.60%,RPS20;EIF3M;RPL7;RPL19;RPS8;RPS5;RPL8;RPS3;RPL4;RPS3A;RPL17;RPS23;RPL41;EIF4A1;RPS21;RPS18;RPL30;RPL3;RPL6;RPS4X;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;GSPT1;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;RPL28;RPS2;RPL24;RPS17;EIF3I;RPS24;RPS6;RPL13;RPS11;RPL12;RPL37A;RPL10A;RPL11;RPL13A;RPL23;RPL35;RPL34;RPS16;RPL36;RPL29;RPL26;RPL31;RPL22;RPL22L1;RPL23A;EIF4A2;RPL38;RPL15;RPL27A;DRG1;RPS25;RPL35A;ETF1;RPL7A;RPS12
prerank,cotranslational protein targeting to membrane (GO:0006613),0.6048799003288086,2.786483200425495,0.0,0.0,0.0,68/94,31.23%,RPS20;RPL7;RPL19;RPS8;RPS5;RPL8;RPS3;RPL4;RPS3A;RPL17;RPS23;RPL41;SEC63;RPS21;RPS18;RPL30;RPL3;RPL6;RPS4X;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;RPL28;RPS2;RPL24;RPS17;RPS24;RPS6;RPL13;RPS11;SEC62;RPL12;RPL37A;RPL10A;RPL11;RPL13A;RPL23;RPL35;RPL34;RPS16;RPL36;RPL29;RPL26;RPL31;RPL22;RPLP2;SRP9;RPL23A;RPL38;RPL15;RPL27A;RPS25;RPL35A;SRP68;SRP14;RPL7A;RPS12;SRP19;UBA52
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),0.6227929217787166,2.771435126274145,0.0,0.0,0.0,67/90,31.23%,RPS20;RPL7;RPL19;RPS8;RPS5;RPL8;RPS3;RPL4;RPS3A;RPL17;RPS23;RPL41;SEC63;RPS21;RPS18;RPL30;RPL3;RPL6;RPS4X;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;RPL28;RPS2;RPL24;RPS17;RPS24;RPS6;RPL13;RPS11;RPL12;RPL37A;RPL10A;RPL11;RPL13A;RPL23;RPL35;RPL34;RPS16;RPL36;RPL29;RPL26;RPL31;RPL22;RPLP2;SRP9;RPL23A;RPL38;RPL15;RPL27A;RPS25;RPL35A;SRP68;SRP14;RPL7A;RPS12;SRP19;UBA52
prerank,protein targeting to ER (GO:0045047),0.5555871210688216,2.639968468837502,0.0,0.0,0.0,72/103,31.23%,RPS20;RPL7;ZFAND2A;RPL19;RPS8;RPS5;RPL8;RPS3;RPL4;RPS3A;SPCS2;RPL17;RPS23;RPL41;SEC63;RPS21;RPS18;RPL30;RPL3;RPL6;RPS4X;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;RPL28;RPS2;RPL24;RPS17;RPS24;RPS6;RPL13;RPS11;SEC62;RPL12;RPL37A;RPL10A;RPL11;RPL13A;RPL23;RPL35;RPL34;RPS16;SPCS3;RPL36;RPL29;RPL26;RPL31;RPL22;RPLP2;SRP9;RPL23A;RPL38;RPL15;RPL27A;RPS25;RPL35A;SRP68;SRP14;RPL7A;SEC61G;RPS12;SRP19;UBA52
prerank,peptide biosynthetic process (GO:0043043),0.5325627804541716,2.6198774407091903,0.0,0.0,0.0,82/162,28.16%,RPS20;RPL7;RPL19;RPS8;MRRF;RPS5;RPL8;RPS3;RPL4;RPS3A;MRPS7;RPL17;RPS23;MRPS11;RRBP1;RPL41;RPS21;RPS18;MRPL11;RPL30;MRPS5;RPL3;RPL6;RPS4X;EIF4EBP2;MRPL24;MRPL51;RPL18;RPL18A;RPL10;RPS19;RPS28;RPL32;GSPT1;RPS13;RPS27A;RPL37;RPL5;RPLP0;MRPS18A;RPLP1;MRPL52;RPL28;RPS2;RPL24;RPS17;IGF2BP3;RPS24;RPS6;RPL13;RPS11;PABPC4;RPL12;RPL37A;RPL10A;RPL11;MRPL34;RPL13A;RPL23;RPL35;RPL34;RPS16;MRPL10;RPL36;RPL29;RPL26;EIF4G1;RPL31;RPL22;EEF1A1;MRPL42;RPLP2;AGO2;RPL23A;MRPL28;COPS5;RPL38;MRPS21;RPL15;RPL27A;HBS1L;RPS25
prerank,nuclear-transcribed mRNA catabolic process (GO:0000956),0.49053772937554624,2.5420594235229443,0.0,0.0,0.0,78/171,23.68%,RPS20;SMG1;AGO1;CASC3;RC3H2;RPL7;RPL19;PPP2R1A;RPS8;SAMD4B;XRN2;RNPS1;RPS5;THRAP3;RPL8;RPS3;RPL4;RPS3A;UPF2;RPL17;RPS23;SMG8;RPL41;RPS21;RPS18;RPL30;CNOT9;RPL3;RPL6;PAN3;RPS4X;CNOT6;DDX5;RPL18;RPL18A;CNOT1;RPL10;RPS19;RPS28;RPL32;GSPT1;RPS13;RPS27A;RPL37;RPL5;RPLP0;RPLP1;SMG9;RPL28;RPS2;RPL24;RPS17;RPS24;PABPC1;RPS6;RPL13;EIF4A3;RPS11;RPL12;RPL37A;EIF3E;CSDE1;MAGOH;TUT4;RPL10A;RPL11;RPL13A;RPL23;RPL35;PNRC2;RPL34;RPS16;RPL36;RPL29;RPL26;EIF4G1;RPL31;RPL22
prerank,regulation of receptor-mediated endocytosis (GO:0048259),0.6556742436699441,2.396102327884976,0.0,0.0,0.0,14/39,18.77%,PROM2;MKLN1;CBL;LDLRAP1;ARF1;B2M;TNK2;RAC1;PICALM;AAK1;PIK3CB;CLU;RAB21;C3
prerank,receptor catabolic process (GO:0032801),0.7233707175538837,2.240429021267311,0.0,0.0,0.0,9/25,15.95%,NEDD4;MYLIP;SH3GLB1;MVB12A;PCSK9;BECN1;AP2S1;CLTC;AP2M1
prerank,cellular protein metabolic process (GO:0044267),0.40614798776302447,2.226904777785985,0.0,0.0,0.0,123/417,23.96%,ABL2;RPS20;UBE2D3;RPL7;LAMB1;RPL19;MELTF;RPS8;ADAM10;MRRF;DNAJC3;RPS5;RPL8;RPS3;WFS1;RPL4;LGALS1;SPP1;RPS3A;D2HGDH;MRPS7;SPCS2;SEC11A;RPL17;FBXW2;APP;RPS23;MRPS11;RRBP1;RPL41;FBXO11;RPS21;RPS18;MRPL11;RPL30;MRPS5;VWA1;SHISA5;RPL3;RPL6;RPS4X;EIF4EBP2;MRPL24;MRPL51;RPL18;RPL18A;CSF1;TMEM132A;RPL10;RPS19;RPS28;PCSK9;RPL32;GSPT1;KTN1;RPS13;RPS27A;IGFBP2;ST3GAL1;RPL37;UBL5;RPL5;RPLP0;MRPS18A;PRKCSH;RPLP1;MRPL52;FSTL3;RPL28;RPS2;RPL24;MSRB1;RPS17;RPN1;IGF2BP3;CST3;HSP90B1;RPS24;YES1;RPS6;RPL13;RPS11;UBE2L3;ERO1A;MIA3;LAMB2;IGFBP3;PABPC4;RPL12;GAS6;RPL37A;CCN1;PARL;C3;RPL10A;LTA4H;RPL11;MRPL34;UBE2G1;MFGE8;RPL13A;DAB2IP;IGFBP6;PARP4;RPL23;RPL35;RPL34;MCRS1;RPS16;SPCS3;LOXL2;MRPL10;RPL36;RPL29;RPL26;SERP1;AKT2;EIF4G1;RPL31;UBE2G2;RPL22;EEF1A1;MRPL42
