Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
positive regulation of phosphorylation (GO:0042327),0.4571203162947292,1.5904117423229247,0.0,0.13786688714344772,253,18,EPHA2;MET;AXL;MAPK3;EPHB2;MRE11;ERBB3;EGFR;LYN;HSP90AA1;PIK3R3;TFRC;ERBB2;PTK2;EPHB4;SDCBP;ABL1;EPHB3,EPHA2;MET;AXL;MAPK3;EPHB2;MRE11;ERBB3;EGFR;LYN;HSP90AA1;PIK3R3;TFRC
positive regulation of transferase activity (GO:0051347),0.5555946487009337,1.7470717528547108,0.0,0.14386109962794544,148,17,HNRNPA2B1;EPHA2;MET;AXL;TCP1;MAPK3;EPHB2;MRE11;MAPK1;ERBB3;EGFR;HSP90AA1;ERBB2;EPHB4;HSP90AB1;GSK3A;EPHB3,HNRNPA2B1;EPHA2;MET;AXL;TCP1;MAPK3;EPHB2;MRE11;MAPK1
"positive regulation of transcription, DNA-templated (GO:0045893)",0.48857660339389936,1.594905550412192,0.02040816326530612,0.16064489458453904,1183,17,WASL;HNRNPU;MET;MAPK3;MTOR;RBM14;EGFR;SHC1;LMO7;STAT6;ERBB2;AFAP1L2;PIK3R2;KAT2A;NME2;ABL1;DYRK1A,WASL;HNRNPU;MET;MAPK3;MTOR;RBM14
mRNA processing (GO:0006397),0.5407608830339781,1.608403565362748,0.022222222222222223,0.17982637453493178,300,15,SRRM2;HNRNPA2B1;HNRNPU;RBM14;RBM5;HNRNPA1;SON;HNRNPUL1;SRSF9;SRSF1;PQBP1;PRPF4B;HSPA8;RNF113A;SF3B4,SRRM2;HNRNPA2B1;HNRNPU;RBM14;RBM5;HNRNPA1;SON;HNRNPUL1;SRSF9
positive regulation of macromolecule metabolic process (GO:0010604),0.5078368850382649,1.6266573472294705,0.07317073170731707,0.2038032244729227,384,18,SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;ANXA2;PIK3R3;TFRC;AFDN;ITCH;MAPK9;PKP3;GSK3A;MAPK14;ROBO1,SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;ANXA2
regulation of intracellular signal transduction (GO:1902531),0.48536121236857294,1.6497591853979987,0.029411764705882353,0.2457627118644068,437,26,ARAP1;ARAP2;CDK2;DYRK2;MAPK3;MTOR;MRE11;CDK5;MAPK1;EZR;HIPK1;SOS1;EGFR;ARHGDIA;LYN;ARHGAP35;ARHGAP12;CRK;ARHGDIB;PIK3R2;ARHGAP5;WWC1;ARHGAP32;MAPK14;ARHGEF5;CDK1,ARAP1;ARAP2;CDK2;DYRK2;MAPK3;MTOR;MRE11;CDK5;MAPK1;EZR;HIPK1;SOS1;EGFR;ARHGDIA;LYN;ARHGAP35
regulation of gene expression (GO:0010468),0.39211325361741034,1.3969446856986847,0.018518518518518517,0.35280222051615184,1079,28,AHNAK;CDK2;SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;SON;CRIP1;LIMD1;LYN;PIK3R3;TFRC;AFDN;MAPK9;PQBP1;PKP3;LARP1;WWC1;GSK3A;ABL1;MAPK14;ESRP2;SIRPA;ROBO1,AHNAK;CDK2;SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;SON;CRIP1;LIMD1;LYN;PIK3R3;TFRC
positive regulation of gene expression (GO:0010628),0.40248117350364904,1.2964878647426892,0.15217391304347827,0.49602108309218684,482,21,SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;ACTB;EGFR;PIK3R3;TFRC;AFDN;ERBB2;KAT2A;MAPK9;PKP3;GSK3A;MAPK14;ROBO1;DYRK1A,SLC38A2;MAPK3;MTOR;EPHB2;RPS3;MAPK1;HGS;EZR;ACTB
actin filament organization (GO:0007015),0.3661283133469544,1.177381406178211,0.2553191489361702,0.7645951035781544,152,17,WASL;FLNA;ABI2;CD2AP;EPS8;ALDOA;INPPL1;DBN1;ARHGAP12;BCAR1;ACTN1;BAIAP2L1;TRIOBP;NEDD9;BAIAP2;LCP1;ELMO2,WASL;FLNA;ABI2;CD2AP;EPS8;ALDOA;INPPL1
positive regulation of protein phosphorylation (GO:0001934),-0.1948557103725626,-0.6412879458261194,0.9245283018867925,0.9332438778933244,371,21,MAPK3;MRE11;MAPK1;TNK2;EGFR;LYN;HSP90AA1;PIK3R3;TFRC;ERBB2;BCAR3;PTK2;PTPN11;SH2D3A;HSP90AB1;SDCBP;ABL1;SRC;TNKS1BP1;JAK2;PTK2B,SRC;TNKS1BP1;JAK2;PTK2B
negative regulation of cellular process (GO:0048523),-0.2078003008862501,-0.6707357565088696,0.86,0.9462708263446271,566,19,MYH9;EPHB2;RBM5;HGS;RASA1;LPXN;ERBB3;ARHGDIA;LYN;CHMP1A;ARHGDIB;ACTN1;PTPRK;DCBLD2;DLG3;FRK;SIRPA;JAK2;PTK2B,FRK;SIRPA;JAK2;PTK2B
negative regulation of apoptotic process (GO:0043066),0.24770610810984212,0.9096211102664109,0.5925925925925926,0.948417619769418,485,29,FLNA;AXL;ANXA1;MAPK3;CFL1;MRE11;MAPK1;RASA1;SON;ERBB3;EGFR;SHC1;ARHGDIA;TFRC;ITCH;KRT18;PTK2;NME2;TJP1;ITGB1;BAG3;HIPK3;GSTP1;ANXA5;SRC;CDK1;FHL2;PRKCD;PTK2B,FLNA;AXL;ANXA1;MAPK3;CFL1;MRE11;MAPK1;RASA1;SON;ERBB3;EGFR;SHC1;ARHGDIA
ERBB signaling pathway (GO:0038127),0.3346231537947473,1.0143447551273606,0.49019607843137253,0.9590739975196362,66,15,ERBIN;MAPK1;ERBB3;GRB2;SOS1;EGFR;GAB1;SHC1;HSP90AA1;ERBB2;BCAR1;PTK2;PTPN11;SRC;PTK2B,ERBIN;MAPK1;ERBB3;GRB2;SOS1;EGFR;GAB1;SHC1;HSP90AA1
positive regulation of cell population proliferation (GO:0008284),0.19368274824602538,0.587481478785737,0.9545454545454546,0.9698222405952873,474,17,HNRNPU;CDK2;ERBB3;EGFR;SHC1;LYN;GAB2;ERBB2;FER;PTK2;NME2;TJP1;IRS2;SDCBP;EFNB2;SHANK2;PTK2B,HNRNPU;CDK2
regulation of cell adhesion (GO:0030155),-0.21916325764412706,-0.6729704877846048,0.9298245614035088,0.9855898954246458,133,17,EPHA2;EPHB2;PKP4;RASA1;LPXN;ERBB3;ARHGDIA;LYN;ERBB2;ARHGDIB;PTK2;PTPN11;ABL1;SRC;TGM2;EPHB3;PTK2B,SRC;TGM2;EPHB3;PTK2B
