Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Alpha 6 Beta 4 signaling pathway WP244,0.6665804127038069,2.4842340441679083,0.0,0.0,33,30,PTK2;LAMB1;MAPK3;LAMC1;LAMA5;MAPK14;LAMB2;IRS2;AKT1;ITGB4;RHOA;PRKCA;RAC1;SHC1;HRAS;SOS1;MTOR;GRB2;SRC;LAMC2;GAB1;PTPN11;ITGA6;MAPK1;IRS1;PRKCD;LAMA3;LAMB3;PIK3R2;EIF4EBP1,PTK2;LAMB1;MAPK3;LAMC1;LAMA5;MAPK14;LAMB2;IRS2;AKT1;ITGB4;RHOA;PRKCA;RAC1
Common Pathways Underlying Drug Addiction WP2636,0.7318337503821812,2.5076126285837383,0.0,0.0,42,22,RAP1B;MAPK3;GNAS;CREB1;PPP1CC;PPP1CA;PRKCA;ACTB;PRKACB;GNAI1;PRKACA;ACTG1;CALM2;CALM1;PPP1CB;PRKCG;RAF1;ARAF;RAP1A;MAPK1;MAP2K1;MAP2K2,RAP1B;MAPK3;GNAS;CREB1;PPP1CC;PPP1CA;PRKCA;ACTB;PRKACB;GNAI1;PRKACA;ACTG1
Cytoplasmic Ribosomal Proteins WP477,0.5055752560272392,2.251909912778808,0.0,0.0,89,85,RPS21;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;RPLP0;RPS7;RPS19;RPL3;RPL27A;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18;RPS3;RPS9;RPL5;RPS8;RPS6KB1;RPL7;RPL24;RPS23;RPL7A;RPL12;RPL34;RPL23A;RPS29;RPL6;RPS27A;RPS25;RPS15;RPL41;RPL19;RPLP2;RPS28;RPL22;RPL4;RPL9;RPS4X;RPS2;RPL23;RPL14;RPS6KB2;RPS18;RPS12;RPL39;RPL37;RPL35;RPL36A;RPS5;RPS10;RPL11;RPL27;RPL21;RPS26;RPS6KA3;RPS6KA1;RPS6KA2;RPL18A;RPS3A;RPS17;RPL26;RPL36;FAU;MRPL19,RPS21;RPL32;RPS27;RPL29;RPL13;RPL37A;RPS20;RPS24;RPS14;RPL38;RPL15;RPS15A;RPL8;RPLP0;RPS7;RPS19;RPL3;RPL27A;RPL30;RPL10;RPLP1;RPL10A;RPL17;RPL31;RPL35A;RPS6;RPL13A;RPL28;UBA52;RPS16;RPS13;RPSA;RPS11;RPL18;RPS3;RPS9;RPL5
MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement WP4560,0.7672872370875206,2.2229179174420097,0.0,0.004112903225806452,18,15,PTK2;MAPK3;TJP1;LPP;ITGAV;CREB1;PXN;ACTN1;PLCG1;VCL;MFAP5;MYLK;MAPK1;JUN;PRKCQ,PTK2;MAPK3;TJP1;LPP;ITGAV;CREB1;PXN;ACTN1
Netrin-UNC5B signaling pathway WP4747,0.5643738281162127,1.9886017304499835,0.0,0.005483870967741935,52,34,PTK2;YAP1;MAPK3;PTPA;NTN4;MAPK14;AKT1;PPP1CA;ITGB4;RHOA;PRKCA;RAC1;TP53;RLF;PIK3CA;DAPK1;NTN1;PPP2R1B;RAF1;SRC;CASP3;PTPN11;COL1A1;MAPK1;FYN;MAP2K1;ARHGEF12;JUN;MAP2K2;ICAM1;PTK2B;PLEKHH1;CIP2A;IL1A,PTK2;YAP1;MAPK3;PTPA;NTN4;MAPK14;AKT1;PPP1CA;ITGB4;RHOA;PRKCA;RAC1
Sterol regulatory element-binding proteins (SREBP) signaling WP1982,0.48379635833243917,2.0399117896720496,0.0,0.005483870967741935,69,60,HMGCR;NR1H2;RNF139;HMGCS1;INSIG2;SCARB1;AMFR;SEC31A;SQLE;SEC23A;PRKAG2;CREB1;MVD;AKT1;CYP51A1;SREBF2;PRKACA;ACLY;SEC24B;SP1;LSS;FDFT1;INSIG1;PRKAG1;PRKAA1;FDPS;MED15;SAR1A;SEC24D;IDI1;PIK3CA;SEC24C;PRKAB1;SIRT1;DBI;SCD;MTOR;SCAP;SREBF1;PRKAB2;LPIN1;FASN;NFYA;SEC23B;KPNB1;PPARG;ATF6;SEC24A;SAR1B;YY1;SEC13;GSK3A;ACACA;ACSS1;MDH1;MBTPS2;CDK8;LDLR;GPAM;MBTPS1,HMGCR;NR1H2;RNF139;HMGCS1;INSIG2;SCARB1;AMFR;SEC31A;SQLE;SEC23A;PRKAG2;CREB1;MVD;AKT1;CYP51A1;SREBF2;PRKACA;ACLY;SEC24B;SP1;LSS;FDFT1;INSIG1;PRKAG1;PRKAA1;FDPS;MED15;SAR1A;SEC24D
Signaling of Hepatocyte Growth Factor Receptor WP313,0.5388204413585135,2.012723173365933,0.0,0.006169354838709677,34,30,PTK2;RAP1B;MAPK3;MET;PAK1;CRK;ITGB1;PXN;PIK3CA;HRAS;RAPGEF1;SOS1;RAF1;GRB2;SRC;MAPK8;STAT3;GAB1;ELK1;PTPN11;RAP1A;MAPK1;MAP2K1;JUN;MAP2K2;DOCK1;RASA1;PTK2B;CRKL;FOS,PTK2;RAP1B;MAPK3;MET;PAK1;CRK;ITGB1;PXN
"GPCRs, Class A Rhodopsin-like WP455",-0.5584550315994183,-2.0429253881951968,0.0,0.006206896551724138,257,29,P2RY6;GPR161;HCAR1;LPAR5;P2RY2;RABGAP1;MC1R;PTAFR;LPAR6;GPR173;PTGER4;ACKR3;SSTR2;OR2F1;ADRA1B;GPR87;OPN3;GPR39;OXTR;HTR1D;F2R;ADRB2;GPR19;P2RY11;FFAR2;GALR2;F2RL1;ADORA2B;GRPR,GPR87;OPN3;GPR39;OXTR;HTR1D;F2R;ADRB2;GPR19;P2RY11;FFAR2;GALR2;F2RL1;ADORA2B;GRPR
Androgen receptor signaling pathway WP138,0.4465945073137744,1.958323380397352,0.0,0.006580645161290322,90,79,PTK2;RAD9A;AES;SMAD4;NCOR1;BAG1;SMAD3;CALR;PIAS1;RACK1;STUB1;FLNA;CREB1;AKT1;RNF4;UBE3A;CAV1;RHOA;SMARCE1;RAC1;PARK7;RUNX2;TGIF1;CREBBP;PIAS3;NCOA4;SP1;GSK3B;FHL2;PIAS4;PRDX1;ROCK1;FKBP4;CTNNB1;CDC42;PAK6;LIMK2;SUMO1;SIN3A;CDKN1A;NCOA3;NCOR2;HDAC1;TGFB1I1;UBE2I;SIRT1;NR2C2;KDM1A;CCND1;KAT5;SRC;EP300;KAT7;DAXX;STAT3;ZMIZ1;RNF6;RNF14;JUN;ROCK2;BMF;PATZ1;DSTN;PSMC3IP;PIK3R2;RAN;MDM2;RB1;FOXO1;RELA;NCOA2;CARM1;EGFR;ZNF318;PLPP1;RHOB;BRCA1;ETV5;CCNE1,PTK2;RAD9A;AES;SMAD4;NCOR1;BAG1;SMAD3;CALR;PIAS1;RACK1;STUB1;FLNA;CREB1;AKT1;RNF4;UBE3A;CAV1;RHOA;SMARCE1;RAC1;PARK7;RUNX2;TGIF1;CREBBP;PIAS3;NCOA4;SP1;GSK3B;FHL2;PIAS4;PRDX1;ROCK1;FKBP4;CTNNB1;CDC42;PAK6
Primary focal segmental glomerulosclerosis (FSGS) WP2572,0.4915257621801356,2.040023579719652,0.0,0.006580645161290322,72,53,PTK2;ACTN4;NCK1;DAG1;LAMA5;ITGAV;LAMB2;PCNA;CD151;COL4A4;MYO1E;CLDN1;AKT1;ITGB4;ITGB1;LIMS1;LRP6;YWHAQ;UTRN;FAT1;DNM1;CTNNB1;PLAUR;NOTCH1;AGRN;CDKN1A;TLN1;KRT8;PLCG1;MYH9;CDH2;IRF6;DKK1;COL4A5;VCL;PLCE1;CD2AP;VIM;FYN;INF2;CDKN1B;LRP5;PARVA;SMARCAL1;ILK;CTSL;SCARB2;ITGA3;PODXL;JAG1;MKI67;CDKN1C;SYNPO,PTK2;ACTN4;NCK1;DAG1;LAMA5;ITGAV;LAMB2;PCNA;CD151;COL4A4;MYO1E;CLDN1;AKT1;ITGB4;ITGB1;LIMS1;LRP6;YWHAQ;UTRN;FAT1;DNM1;CTNNB1;PLAUR
