Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Cytoplasmic Ribosomal Proteins WP477,0.6051981646193737,2.681682644161411,0.0,0.0,89,85,RPS20;RPS5;RPL7;RPL19;RPS6KB1;RPL13A;RPL17;RPS8;RPS3A;RPL41;RPS18;RPL4;RPL32;RPL8;RPS3;RPL18;RPL37;RPS21;RPS6KA3;RPL6;RPS11;RPL30;FAU;RPL10;RPS2;RPS23;RPL5;RPLP1;RPS19;RPL11;RPLP0;RPS28;RPS6KA1;RPS6;RPS27A;RPL37A;RPL3;RPL24;RPS17;RPS24;RPL36;RPL18A;RPS4X;RPS13;RPL22;RPL12;RPL35;RPS25;RPL28;RPLP2;RPL15;RPL23A;RPL31;RPS16;RPL29;RPL13;RPL27A;RPL26;RPL35A;RPS12;RPL10A;RPL34;RPS9;RPL23;RPL38;RPSA;RPL14;RPL7A;UBA52;RPS27;RPS10;RPL27;RPL21;RPS6KA2;RPS29;RPS26;RPL39;RPL36A;RPS15;RPS7;MRPL19;RPS14;RPS15A;RPL9;RPS6KB2,RPS20;RPS5;RPL7;RPL19;RPS6KB1;RPL13A;RPL17;RPS8;RPS3A;RPL41;RPS18;RPL4;RPL32;RPL8;RPS3;RPL18;RPL37;RPS21;RPS6KA3;RPL6;RPS11;RPL30;FAU;RPL10;RPS2;RPS23;RPL5;RPLP1;RPS19;RPL11;RPLP0;RPS28;RPS6KA1;RPS6;RPS27A;RPL37A;RPL3;RPL24;RPS17;RPS24;RPL36;RPL18A;RPS4X;RPS13;RPL22;RPL12;RPL35;RPS25;RPL28;RPLP2;RPL15;RPL23A;RPL31;RPS16;RPL29;RPL13;RPL27A;RPL26;RPL35A
Focal Adhesion WP306,0.4545255443610514,2.2739380881156266,0.0,0.0,198,135,ITGA3;VCL;LAMA5;AKT3;PAK2;BIRC2;BRAF;ROCK1;PPP1CA;FLNA;VEGFA;PDGFA;PPP1R12C;ACTN4;CAPN2;MET;RAC1;SHC3;ACTG1;PXN;LAMB1;MYL12B;DIAPH1;FLNC;MAPK3;FLNB;PPP1R12A;SPP1;VAV2;ROCK2;PTK6;THBS1;BIRC3;MAPK1;PAK1;GSK3B;ACTB;CDC42;RAP1B;PIK3CB;CTNNB1;TNK2;AKT1;PRKCG;GRB2;SOS1;EGFR;IGF1R;SHC1;MYL12A;PRKCA;PAK6;ARHGAP35;CCND1;CAV1;VEGFC;AKT2;RAP1A;PIK3CA;PIK3R3;LAMB2;MAPK8;LAMC2;CRK;FYN;THBS3;FN1;PAK4;ERBB2;LAMA4;PDGFB;COL6A2;MYL5;ITGB4;BCAR1;BAD;PARVA;ACTN1;LAMA3;RAC2;PIK3R2;COL4A6;CAV2;PPP1CB;MYLPF;CRKL;CHAD;LAMB3;MAPK9;PDPK1;ITGB5;PTK2;ARHGAP5;RHOA;PIK3CD;ITGB6;ITGB1;VASP;TLN1;PPP1CC;LAMC1;CCND3;PDGFC;STYK1;RASGRF1;ILK;COL4A4;XIAP;RAF1;TNK1;ITGA2;RAPGEF1;HRAS;MYL9;SRC;PIP5K1C;PARVB;ITGAV;TLN2;COL1A1;PDGFD;ELK1;VEGFB;VAV1;JUN;ITGA6;MAP2K1;ITGB8;RAC3;TESK2;PPP1R12B;ZYX;MYLK;DOCK1;ITGA5,ITGA3;VCL;LAMA5;AKT3;PAK2;BIRC2;BRAF;ROCK1;PPP1CA;FLNA;VEGFA;PDGFA;PPP1R12C;ACTN4;CAPN2;MET;RAC1;SHC3;ACTG1;PXN;LAMB1;MYL12B;DIAPH1;FLNC;MAPK3;FLNB;PPP1R12A;SPP1;VAV2;ROCK2;PTK6;THBS1;BIRC3;MAPK1;PAK1;GSK3B;ACTB;CDC42;RAP1B;PIK3CB;CTNNB1;TNK2;AKT1;PRKCG;GRB2;SOS1;EGFR;IGF1R;SHC1;MYL12A;PRKCA;PAK6;ARHGAP35;CCND1;CAV1;VEGFC;AKT2;RAP1A;PIK3CA;PIK3R3;LAMB2
G Protein Signaling Pathways WP35,0.5491604023397665,2.3279216501777036,0.0,0.0,93,54,PRKCH;GNAS;PRKCI;AKAP11;SLC9A1;GNG5;CALM2;GNA12;ADCY7;GNAI2;PRKAR1A;GNB1;ADCY6;PRKCZ;PRKAR1B;AKAP2;AKAP12;KRAS;GNA13;PRKACB;PRKCG;GNB5;PRKCA;PRKAR2A;NRAS;GNAI3;GNG12;GNB2;PRKACA;ARHGEF1;AKAP10;PDE8A;CALM1;GNA11;GNA15;PPP3CA;RHOA;GNAI1;AKAP13;ADCY3;AKAP9;PLCB3;PRKD3;GNAQ;HRAS;GNG10;GNGT2;AKAP8;PRKCD;AKAP1;PRKCQ;PDE7A;RRAS;ADCY9,PRKCH;GNAS;PRKCI;AKAP11;SLC9A1;GNG5;CALM2;GNA12;ADCY7;GNAI2;PRKAR1A;GNB1;ADCY6;PRKCZ;PRKAR1B;AKAP2;AKAP12;KRAS;GNA13;PRKACB;PRKCG;GNB5;PRKCA;PRKAR2A;NRAS;GNAI3;GNG12;GNB2;PRKACA;ARHGEF1
Head and Neck Squamous Cell Carcinoma WP4674,0.5444114005714247,2.319220813068605,0.0,0.0,73,60,CDK6;AKT3;BIRC2;TP53;NUMB;REL;VEGFA;PRKAA1;RICTOR;MTOR;NOTCH2;TGFBR2;FAT1;KRAS;PIK3CB;CTNNB1;RB1;RPTOR;AKT1;CDKN2A;EGFR;GAB1;IGF1R;FKBP1A;CUL3;RPS6;NRAS;CCND1;AKT2;KEAP1;PIK3CA;NFKB2;STK11;TSC1;MLST8;ERBB2;IRF6;CDKN1A;RHEB;PIK3R2;PDPK1;CDK4;MAPKAP1;NFE2L2;TRAF3;NOTCH1;SMAD4;TSC2;FGFR1;RELA;FADD;AJUBA;NFKB1;HRAS;CASP8;DDIT4;EIF4E;EIF4EBP1;E2F1;RPS6KB2,CDK6;AKT3;BIRC2;TP53;NUMB;REL;VEGFA;PRKAA1;RICTOR;MTOR;NOTCH2;TGFBR2;FAT1;KRAS;PIK3CB;CTNNB1;RB1;RPTOR;AKT1;CDKN2A;EGFR;GAB1;IGF1R;FKBP1A;CUL3;RPS6;NRAS;CCND1;AKT2;KEAP1;PIK3CA;NFKB2;STK11
"Relationship between inflammation, COX-2 and EGFR WP4483",0.7031829584202053,2.2632657330599666,0.0,0.0,25,17,AKT3;BRAF;MAPK3;PTGER4;MAPK1;KRAS;PIK3CB;AKT1;EGFR;NRAS;AKT2;PIK3CA;PIK3CD;PTGES2;PTGS2;HRAS;SRC,AKT3;BRAF;MAPK3;PTGER4;MAPK1;KRAS;PIK3CB;AKT1;EGFR;NRAS;AKT2;PIK3CA
VEGFA-VEGFR2 Signaling Pathway WP3888,0.42811351755217086,2.327130371694874,0.0,0.0,432,345,ATF4;VCL;ABCF2;BSG;PRKCI;GIGYF2;TAOK2;PGD;CAPZB;SET;PAK2;FSCN1;PRRC2C;NAP1L1;NUMB;NDRG1;ROCK1;RAB11A;PPP1CA;RPL7;AKT1S1;SND1;EPHA2;VEGFA;SH3BGRL3;CAPN2;MAPKAPK5;RAC1;ACTG1;PRDX6;PXN;TMOD3;PRKD2;MYH9;RPS6KB1;RPL13A;PRKAA1;ANXA1;ARF4;RICTOR;MICAL2;MAPK3;MTOR;FLNB;PLCG1;RACK1;PLOD3;PRKCZ;CFL1;HDAC1;EPHB2;EIF4G2;VAV2;ROCK2;CBL;EWSR1;ADAM10;CCT7;TPM3;HSPB1;MAPK1;SSR4;PTPRJ;CNP;CCDC124;ALDOA;HGS;EZR;UBAP2L;LIMK1;PAK1;AKAP2;STAT1;GSK3B;MYO1C;PABPC1;GATA2;PDE4DIP;CDC42BPB;RPS11;CDC42;RAP1B;RCN1;CTNNB1;AKT1;EPB41;CTNND1;NAPA;RPL5;GPC1;EIF2A;GRB2;CLTC;DHX36;SRPK1;QKI;F3;GAB1;AP2S1;BRD4;SHC1;IGFBP3;MKNK1;NCK1;FBXW11;PRKCA;RPS6;SHB;SLC25A25;TMSB10;HSP90AA1;NFATC2;CCND1;RHOC;GRSF1;CAV1;RAP1A;EPN1;PLAUR;LUC7L;STAT6;PTMA;PIK3CA;BIN1;ENG;MAP2K4;CLIC1;GRB10;RPL18A;TUBA1C;TFCP2;GIPC1;STIP1;MAPK8;FOXO3;GLUD1;AFDN;TXNIP;ATP6V1E1;AMOT;MMP14;P4HA2;CRK;CREB1;PTPN14;ATF6;FLII;FYN;RPLP2;ETS1;FN1;SOD2;TMOD1;EIF4G1;ITCH;MLST8;EIF3H;SSR3;CTNNA1;MAP3K5;BCAR1;CREBBP;RPL26;DPM1;VPS39;MAP2K2;YWHAE;ELOA;PIK3R2;RPL10A;NRP2;STAM;SPIRE1;CYCS;P4HB;RBM39;LARP7;HDAC7;INPP4B;NCL;LRRFIP2;CALU;ADAM9;MAPK9;MDM2;PDPK1;ACP1;ITGB5;PPP3CA;FRS2;APOLD1;MAPKAP1;PTK2;EIF3F;IQGAP1;TNFRSF25;GPX1;TEAD4;DKK1;RHOA;EPS15;FOXO1;PSMD4;PTPN11;OCRL;ASCC3;SARS;TKT;SLC25A11;CAMKK2;FOXO4;LMAN1;FAM120A;ITGB1;PTPN9;ATP6V0D1;PPP2CA;RPL27;FXR2;AP2A1;CRIP2;WASF1;SDCBP;TPP1;CALR;PTPN6;ABL1;IGFBP7;SMARCA2;ICAM1;MAPK14;ARPC5L;DNAJB4;PRDX2;DNAJA1;EIF2AK3;ACACA;IER5;EIF3D;PLCB3;MEF2C;COPG1;PTPN1;FAF1;HDAC9;MYO6;CSK;MAP2K7;USP10;OCLN;GAPDH;HBEGF;RELA;PFN1;ACKR3;JAG1;NCF2;ARNT;MOV10;ARRB2;NOS3;ADRB2;FADD;HYOU1;RAF1;ACOT9;HERPUD1;HDAC5;PTGS2;DHX29;PRKRA;ARF6;RAB4A;FHOD1;HMGB1;RAPGEF1;EPRS;LDHA;SLC7A1;NFKB1;HRAS;RAB5A;SRC;IDH2;EEA1;BIRC5;BCL2L1;EGR1;CSRP2;TMSB4X;TFAM;RND1;TXN;PLAU;ITGAV;ELOC;INPP5K;FHL2;STAT3;TPCN2;SRP54;TRAF3IP2;MAPKAPK2;SRF;ELK1;DECR1;DNAJB9;PGK1;SDF2L1;CSRP1;EIF4E;RCAN1;PRKCD;TBCA;PSMD11;ATF2;KANK1;TRIP4;ZC3H15;TMEM170A;MAP2K3;JUN;HDAC4;ACACB;PTK2B;NRARP;MAP2K1;PBXIP1;NFKBIA;DOK1;PPM1G;SH2D2A;DUSP5;PNP;FJX1;MMRN2;FARSB;PDIA6;TXNDC5;HTRA1;SIAH2;LRRC59;MAPK12;PBK;FUT1,ATF4;VCL;ABCF2;BSG;PRKCI;GIGYF2;TAOK2;PGD;CAPZB;SET;PAK2;FSCN1;PRRC2C;NAP1L1;NUMB;NDRG1;ROCK1;RAB11A;PPP1CA;RPL7;AKT1S1;SND1;EPHA2;VEGFA;SH3BGRL3;CAPN2;MAPKAPK5;RAC1;ACTG1;PRDX6;PXN;TMOD3;PRKD2;MYH9;RPS6KB1;RPL13A;PRKAA1;ANXA1;ARF4;RICTOR;MICAL2;MAPK3;MTOR;FLNB;PLCG1;RACK1;PLOD3;PRKCZ;CFL1;HDAC1;EPHB2;EIF4G2;VAV2;ROCK2;CBL;EWSR1;ADAM10;CCT7;TPM3;HSPB1;MAPK1;SSR4;PTPRJ;CNP;CCDC124;ALDOA;HGS;EZR;UBAP2L;LIMK1;PAK1;AKAP2;STAT1;GSK3B;MYO1C;PABPC1;GATA2;PDE4DIP;CDC42BPB;RPS11;CDC42;RAP1B;RCN1;CTNNB1;AKT1;EPB41;CTNND1;NAPA;RPL5;GPC1;EIF2A;GRB2;CLTC;DHX36;SRPK1;QKI;F3;GAB1;AP2S1;BRD4;SHC1;IGFBP3;MKNK1;NCK1;FBXW11;PRKCA;RPS6;SHB;SLC25A25;TMSB10;HSP90AA1;NFATC2;CCND1;RHOC;GRSF1;CAV1;RAP1A;EPN1;PLAUR;LUC7L;STAT6;PTMA;PIK3CA;BIN1;ENG;MAP2K4;CLIC1;GRB10;RPL18A;TUBA1C;TFCP2;GIPC1;STIP1;MAPK8;FOXO3;GLUD1;AFDN;TXNIP;ATP6V1E1;AMOT;MMP14;P4HA2;CRK;CREB1;PTPN14;ATF6;FLII;FYN;RPLP2;ETS1;FN1;SOD2;TMOD1
Wnt Signaling Pathway WP363,0.5643634333551463,2.268694863732296,0.0,0.0,52,40,CDK6;CTBP1;LRP6;RAC1;CSNK1E;MTOR;DVL1;CSNK1D;MAPK1;GSK3B;DVL3;CTNNB1;AKT1;PRKCG;NLK;PRKCA;TCF3;NFATC2;CCND1;RYK;MAP3K7;MYC;MAPK8;TSC1;CSNK1A1;PPARG;CSNK1G1;MAPK9;RHOA;LRP5;DVL2;GSK3A;APC;TSC2;BCL9;ARRB2;PI4K2A;AXIN1;ROR1;TCF4,CDK6;CTBP1;LRP6;RAC1;CSNK1E;MTOR;DVL1;CSNK1D;MAPK1;GSK3B;DVL3;CTNNB1;AKT1;PRKCG;NLK;PRKCA;TCF3;NFATC2;CCND1;RYK;MAP3K7;MYC;MAPK8;TSC1
Fragile X Syndrome  WP4549,0.4827392008934585,2.0906022386243834,0.0,0.00282,121,83,CLTB;MECP2;BRAF;EEF1A1;PPP1CA;AKT1S1;ABAT;SLC16A1;RPS6KB1;PRKAR1A;CYFIP1;MTOR;PLCG1;APP;RAP1GAP;EIF4A1;DNM2;AGO2;MAPK1;AP2M1;DLG4;TELO2;KRAS;ALDH3A2;PIK3CB;RPTOR;AKT1;GRB2;CLTC;CDKN2A;EIF4EBP2;SOS1;GAB1;AP2S1;FMR1;SHC1;MKNK1;PRKCA;PRKACA;TSC1;CREB1;FYN;EIF4G1;DNM1;MLST8;BDNF;RHEB;MAP2K2;MAP1B;TECR;NF1;CLTA;DUSP3;PPP3CA;PTPN11;AP2B1;ARHGAP32;AP2A1;PICK1;CPT1A;DAG1;SH3GL1;TSC2;TARBP2;EPS8L1;ALDH5A1;ABCD3;RAF1;SRC;PPP2R5B;DICER1;TBC1D7;HOMER1;GPHN;EIF4E;EPHA4;PDK1;TTI1;MAP2K1;SYNGAP1;ARAF;GRIP1;GABRG2,CLTB;MECP2;BRAF;EEF1A1;PPP1CA;AKT1S1;ABAT;SLC16A1;RPS6KB1;PRKAR1A;CYFIP1;MTOR;PLCG1;APP;RAP1GAP;EIF4A1;DNM2;AGO2;MAPK1;AP2M1;DLG4;TELO2;KRAS;ALDH3A2;PIK3CB;RPTOR;AKT1;GRB2;CLTC;CDKN2A;EIF4EBP2;SOS1;GAB1;AP2S1;FMR1;SHC1;MKNK1;PRKCA
Ras signaling WP4223,0.44714479462146395,2.096436583788202,0.0,0.002968421052631579,184,112,AKT3;CALML5;PLA2G6;ABL2;PAK2;GNG5;CALM2;REL;EPHA2;MET;RAC1;RASA2;SHC3;MAPK3;GNB1;PLCG1;BRAP;STK4;CALM3;MAPK1;RALA;PAK1;RASA1;RASAL2;KRAS;CDC42;RAP1B;PIK3CB;PRKACB;AKT1;PRKCG;GRB2;GNB5;SOS1;EGFR;GAB1;IGF1R;SHC1;PRKCA;PAK6;NRAS;GNG12;AKT2;RAP1A;GNB2;PIK3CA;PIK3R3;MAPK8;PRKACA;SHOC2;AFDN;RRAS2;GAB2;ETS1;IKBKG;PAK4;CALM1;BAD;MAP2K2;RAC2;NF1;PIK3R2;MAPK9;PLD2;PLA2G4C;RHOA;PTPN11;KSR1;PIK3CD;PLA2G16;FOXO4;PLD1;RALGDS;MRAS;RIN1;GNB4;ABL1;RASSF1;RASGRF1;FGFR1;RELA;RAB5C;CHUK;RAF1;RALB;ARF6;FGFR4;EXOC2;NFKB1;HRAS;RAB5A;RAB5B;BCL2L1;GNG10;PLA2G12A;RALBP1;GNGT2;RGL2;RASGRP1;SOS2;ELK1;PLCE1;ETS2;CSF1R;RRAS;MAP2K1;RAC3;TIAM1;RGL1;SYNGAP1;RASA4;CALML4,AKT3;CALML5;PLA2G6;ABL2;PAK2;GNG5;CALM2;REL;EPHA2;MET;RAC1;RASA2;SHC3;MAPK3;GNB1;PLCG1;BRAP;STK4;CALM3;MAPK1;RALA;PAK1;RASA1;RASAL2;KRAS;CDC42;RAP1B;PIK3CB;PRKACB;AKT1;PRKCG;GRB2;GNB5;SOS1;EGFR;GAB1;IGF1R;SHC1;PRKCA;PAK6;NRAS;GNG12;AKT2;RAP1A;GNB2;PIK3CA;PIK3R3;MAPK8;PRKACA;SHOC2;AFDN;RRAS2;GAB2
Photodynamic therapy-induced HIF-1 survival signaling WP3614,0.5636218956024006,2.1022041272247973,0.0,0.003133333333333333,37,29,MCL1;TP53;VEGFA;SLC2A1;SLC16A1;BNIP3L;PMAIP1;BAX;IGFBP2;HIF1A;PKM;HK1;IGFBP3;TGFA;HIF1AN;PFKL;EDN1;BID;BAK1;ARNT;PTGS2;LDHA;BIRC5;SERPINE1;BCL2L1;BNIP3;PDHA1;PGK1;EGLN1,MCL1;TP53;VEGFA;SLC2A1;SLC16A1;BNIP3L;PMAIP1;BAX;IGFBP2;HIF1A;PKM;HK1;IGFBP3
