Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Mismatch repair,-0.6497441267573566,-1.972998099967037,0.02,0.007324768988054992,23,21,SSBP1;POLD4;MLH1;MSH3;RFC2;PMS2;POLD2;MSH6;RPA1;LIG1;POLD1;RFC4;RFC1;RPA2;POLD3;RPA3;MSH2;RFC5;RFC3;EXO1;PCNA,LIG1;POLD1;RFC4;RFC1;RPA2;POLD3;RPA3;MSH2;RFC5;RFC3;EXO1;PCNA
Proteasome,-0.5634354526804609,-1.9234138980793787,0.019230769230769232,0.008371164557777134,46,43,PSMB5;PSMB10;PSMD2;SEM1;PSMD4;PSMA6;POMP;PSMF1;PSMC5;PSMD3;PSME3;ADRM1;PSMB7;ENST00000429645.6;PSMD9;PSMA2;PSMC1;PSMB9;PSMB1;PSMB4;PSME2;PSMD8;PSMB6;PSMC2;PSMA7;PSMD13;PSMD12;PSMC3;PSME1;PSMB3;PSMA1;PSMC6;PSMC4;PSMD7;PSME4;PSMA3;PSMD11;PSMA5;PSMD1;PSMB2;PSMD6;PSMD14;PSMA4,PSMC3;PSME1;PSMB3;PSMA1;PSMC6;PSMC4;PSMD7;PSME4;PSMA3;PSMD11;PSMA5;PSMD1;PSMB2;PSMD6;PSMD14;PSMA4
Homologous recombination,-0.5560212710672986,-1.9998276307943548,0.0,0.00878972278566599,41,38,RAD51B;SSBP1;RAD52;POLD4;SEM1;BRCC3;MUS81;BLM;RAD51C;EME1;BABAM1;ATM;UIMC1;RAD54L;RAD51;XRCC3;POLD2;BABAM2;NBN;MRE11;RPA1;TOP3B;RAD50;POLD1;RAD51D;TOP3A;TOPBP1;RBBP8;RPA2;POLD3;RAD54B;RPA3;BRIP1;BRCA2;PALB2;XRCC2;BRCA1;BARD1,RAD50;POLD1;RAD51D;TOP3A;TOPBP1;RBBP8;RPA2;POLD3;RAD54B;RPA3;BRIP1;BRCA2;PALB2;XRCC2;BRCA1;BARD1
Oocyte meiosis,-0.5528568722282351,-2.018875702455222,0.0,0.010987153482082488,129,87,MAPK3;STAG3;ADCY6;MAPK13;MAPK11;ANAPC13;CALML4;CALM3;PPP3CA;ADCY7;PPP2R1B;MAD1L1;IGF1R;PPP1CB;CDC16;PRKACA;PPP2R5B;CPEB4;CALML5;ADCY9;RPS6KA2;CUL1;SPDYE3;PPP2R5E;PPP2R5D;FBXW11;RPS6KA1;YWHAZ;PPP2R5C;ANAPC4;PPP2R1A;ADCY3;CAMK2G;BTRC;PPP3CB;YWHAG;CALM2;CALM1;ANAPC5;AURKA;ITPR2;MAD2L2;MAPK14;ITPR3;RBX1;PPP2CB;ANAPC7;CCNE1;YWHAQ;RPS6KA3;ANAPC10;MAPK12;CDC20;YWHAB;PRKACB;CDC23;MAPK1;CCNB1;ANAPC2;PPP2R5A;SMC3;CDC25C;CDC27;SKP1;PPP1CA;ESPL1;SGO1;PPP2CA;PKMYT1;SLK;CCNB2;CCNE2;MAP2K1;MAD2L1;CDK1;PTTG1;PPP3R1;YWHAH;PPP1CC;FBXO5;CDC26;YWHAE;SMC1A;PLK1;ANAPC1;CDK2;BUB1,RPS6KA3;ANAPC10;MAPK12;CDC20;YWHAB;PRKACB;CDC23;MAPK1;CCNB1;ANAPC2;PPP2R5A;SMC3;CDC25C;CDC27;SKP1;PPP1CA;ESPL1;SGO1;PPP2CA;PKMYT1;SLK;CCNB2;CCNE2;MAP2K1;MAD2L1;CDK1;PTTG1;PPP3R1;YWHAH;PPP1CC;FBXO5;CDC26;YWHAE;SMC1A;PLK1;ANAPC1;CDK2;BUB1
Cell cycle,-0.5852469561770696,-2.0756852571224593,0.0,0.014649537976109983,124,111,GADD45A;CDKN2B;E2F5;TFDP2;CDKN2A;GADD45B;TFDP1;MYC;SMAD4;FZR1;ANAPC13;CDC25B;CDKN1C;MAD1L1;CHEK1;CDK7;CDKN1B;CDC16;MCM4;CREBBP;TGFB2;SMAD3;ZBTB17;CUL1;ORC5;CDKN1A;CDC14B;E2F4;SMAD2;ATM;HDAC1;CCNA2;RBL2;YWHAZ;ANAPC4;CCND1;TP53;YWHAG;SKP2;EP300;CCNH;ANAPC5;MAD2L2;STAG2;ABL1;RBX1;CDK4;ANAPC7;CHEK2;WEE1;DBF4;SFN;CCNE1;YWHAQ;ATR;ORC4;GSK3B;ANAPC10;MDM2;CDC20;CDC45;YWHAB;E2F3;ORC2;HDAC2;RBL1;CDC23;RB1;CCNB1;ANAPC2;MCM7;CDKN2C;CDC7;BUB3;SMC3;CDC25C;CDC27;SKP1;ESPL1;ORC6;PKMYT1;CDK6;CCNB2;CCNE2;CCND3;ORC3;MAD2L1;CDK1;STAG1;PTTG1;YWHAH;CDC26;MCM5;MCM3;MCM2;YWHAE;E2F1;SMC1A;PCNA;CDC25A;TTK;MCM6;PRKDC;CDC6;PLK1;ANAPC1;ORC1;CDK2;RAD21;BUB1B;BUB1,MDM2;CDC20;CDC45;YWHAB;E2F3;ORC2;HDAC2;RBL1;CDC23;RB1;CCNB1;ANAPC2;MCM7;CDKN2C;CDC7;BUB3;SMC3;CDC25C;CDC27;SKP1;ESPL1;ORC6;PKMYT1;CDK6;CCNB2;CCNE2;CCND3;ORC3;MAD2L1;CDK1;STAG1;PTTG1;YWHAH;CDC26;MCM5;MCM3;MCM2;YWHAE;E2F1;SMC1A;PCNA;CDC25A;TTK;MCM6;PRKDC;CDC6;PLK1;ANAPC1;ORC1;CDK2;RAD21;BUB1B;BUB1
Nucleotide excision repair,-0.5157523073082643,-1.8630670648848093,0.0,0.016480730223123734,47,43,GTF2H5;XPC;POLD4;ERCC6;ERCC2;ERCC1;CDK7;XPA;ERCC3;POLE4;GTF2H4;RAD23A;RFC2;GTF2H3;ERCC8;GTF2H1;CUL4A;CCNH;ERCC4;POLE3;POLD2;RBX1;DDB1;RPA1;CUL4B;LIG1;CETN2;POLD1;RFC4;GTF2H2;MNAT1;DDB2;RFC1;RPA2;RAD23B;POLD3;ERCC5;RPA3;RFC5;POLE2;RFC3;POLE;PCNA,LIG1;CETN2;POLD1;RFC4;GTF2H2;MNAT1;DDB2;RFC1;RPA2;RAD23B;POLD3;ERCC5;RPA3;RFC5;POLE2;RFC3;POLE;PCNA
One carbon pool by folate,-0.7328283249034294,-2.083660467606509,0.0,0.021974306964164976,20,17,MTHFR;MTHFS;DHFR2;SHMT2;MTR;ALDH1L1;MTHFD1;MTFMT;MTHFD1L;ST20-MTHFS;SHMT1;MTHFD2;MTHFD2L;GART;ATIC;TYMS;DHFR,MTFMT;MTHFD1L;ST20-MTHFS;SHMT1;MTHFD2;MTHFD2L;GART;ATIC;TYMS;DHFR
DNA replication,-0.7216030126098061,-2.1457578306918594,0.021739130434782608,0.029299075952219967,36,35,SSBP1;POLD4;POLE4;MCM4;RFC2;RNASEH2B;RNASEH1;RNASEH2C;POLE3;POLD2;RNASEH2A;RPA1;LIG1;POLD1;RFC4;MCM7;POLA1;PRIM2;RFC1;RPA2;POLD3;DNA2;RPA3;FEN1;POLA2;PRIM1;RFC5;POLE2;RFC3;MCM5;MCM3;MCM2;POLE;PCNA;MCM6,LIG1;POLD1;RFC4;MCM7;POLA1;PRIM2;RFC1;RPA2;POLD3;DNA2;RPA3;FEN1;POLA2;PRIM1;RFC5;POLE2;RFC3;MCM5;MCM3;MCM2;POLE;PCNA;MCM6
Fatty acid elongation,-0.6060213510983568,-1.7889453429805178,0.0,0.03743770816116996,27,21,ECHS1;THEM4;MECR;HSD17B12;THEM5;TECR;PPT1;ACOT2;HACD2;HACD4;ACAA2;HADHB;HACD1;ELOVL1;ELOVL7;HADH;HADHA;ACOT7;ELOVL5;HACD3;ELOVL6,ELOVL7;HADH;HADHA;ACOT7;ELOVL5;HACD3;ELOVL6
RNA transport,-0.4413552655348175,-1.777823407139233,0.0,0.04101870633310795,186,145,GEMIN8;SEC13;EIF3C;RPP38;EIF5;THOC3;EIF3G;EIF4A2;RPP40;EIF4E2;EIF4G2;EIF1;PYM1;EIF4EBP3;UBE2I;GEMIN2;EIF3A;UPF1;PABPC4;PAIP1;FXR2;POP4;RNPS1;UPF3A;THOC6;RPP25L;CYFIP1;EIF4B;FXR1;RAE1;EEF1A2;EIF3J;CASC3;ACIN1;EIF3E;RBM8A;SENP2;PHAX;EIF3D;MAGOH;EIF2B5;EIF4EBP1;RPP21;EEF1A1;EIF2B4;NXF1;EIF1B;AAAS;SUMO2;PABPC1L;DDX19B;EIF3B;GEMIN6;FMR1;ELAC2;RANGAP1;PNN;SAP18;EIF4A3;NMD3;STRAP;NUP160;POP1;NCBP2;EIF3H;THOC2;THOC5;EIF2B3;EIF4EBP2;MAGOHB;TACC3;EIF3I;EIF4A1;ALYREF;ENST00000452414.5;POM121;GEMIN7;NUP54;NUP98;SUMO3;NXT1;RAN;TGS1;EIF3F;KPNB1;SUMO1;TARDBP;RPP25;EIF4G1;PABPC1;EIF2B1;TRNT1;EIF4G3;POP5;NUP155;EIF2S3;GEMIN4;THOC7;XPO5;NUP88;NUP93;NUP214;EIF2S1;UPF3B;EIF1AX;EIF2B2;NUP37;SNUPN;CLNS1A;POP7;NUP85;NUP107;FUS;RANBP2;TPR;NUP133;NUP35;EIF3CL;GEMIN5;DDX19A;DDX20;NUP58;POM121C;RPP30;EIF4E;PRMT5;NUP43;NUP210;XPOT;EIF2S2;UPF2;NUP205;THOC1;XPO1;GLE1;EIF5B;NXT2;NUP153;NCBP1;SRRM1;NUP62;SEH1L;NUP50;NUP188;NDC1,GEMIN4;THOC7;XPO5;NUP88;NUP93;NUP214;EIF2S1;UPF3B;EIF1AX;EIF2B2;NUP37;SNUPN;CLNS1A;POP7;NUP85;NUP107;FUS;RANBP2;TPR;NUP133;NUP35;EIF3CL;GEMIN5;DDX19A;DDX20;NUP58;POM121C;RPP30;EIF4E;PRMT5;NUP43;NUP210;XPOT;EIF2S2;UPF2;NUP205;THOC1;XPO1;GLE1;EIF5B;NXT2;NUP153;NCBP1;SRRM1;NUP62;SEH1L;NUP50;NUP188;NDC1
