Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ras signaling WP4223,0.757514958,1.769998821,0,0.015365085,0.013,10/184,17.95%,SOS1;MAPK1;MAPK3;GAB1;AFDN;GAB2;RIN1;GRB2;PTPN11;RASA1
prerank,ErbB signaling pathway WP673,0.754980355,1.768938338,0,0.007682542,0.013,May-91,2.56%,SOS1;MAPK1;MAPK3;GAB1;CBLB
prerank,IL-2 signaling pathway WP49,0.829658857,1.765248783,0,0.006697601,0.015,Jun-42,14.96%,SOS1;MAPK1;MAPK3;GAB2;GRB2;PTPN11
prerank,EGFR Tyrosine Kinase Inhibitor Resistance WP4806,0.763038233,1.758675904,0,0.005318683,0.016,May-84,2.14%,SOS1;AXL;MAPK1;MAPK3;GAB1
prerank,T-cell receptor (TCR) signaling pathway WP69,0.774535165,1.752474544,0,0.004727718,0.018,Jul-90,14.96%,SOS1;MAPK1;MAPK3;CBLB;GAB2;GRB2;PTPN11
prerank,Regulation of Actin Cytoskeleton WP51,0.722411397,1.745354024,0,0.00453073,0.021,7/150,14.10%,SOS1;MAPK1;MAPK3;ACTN1;ABI2;BCAR1;ACTB
prerank,EGF/EGFR signaling pathway WP437,0.660291981,1.723804472,0.001071811,0.008948896,0.038,14/162,18.38%,SOS1;MAPK1;GAB1;CBLB;TNK2;INPPL1;GAB2;RIN1;GRB2;BCAR1;PTPN11;ERBB2;RASA1;CBLC
prerank,Angiopoietin Like Protein 8 Regulatory Pathway WP3915,0.773790333,1.712056285,0.00241838,0.010046402,0.048,4/132,2.56%,SOS1;MAPK1;MAPK3;CBLB
prerank,Prolactin Signaling Pathway WP2037,0.709755361,1.710100671,0.002301496,0.00906146,0.049,Aug-76,15.38%,SOS1;MAPK1;MAPK3;SIRPA;GAB2;GRB2;PTPN11;ERBB2
prerank,Focal Adhesion WP306,0.659899979,1.701717448,0.001084599,0.009219051,0.054,9/198,15.38%,SOS1;MAPK1;MAPK3;TNK2;ACTN1;GRB2;BCAR1;ACTB;ERBB2
prerank,Leptin signaling pathway WP2034,0.761438205,1.685529187,0.002469136,0.012463985,0.07,Jun-76,15.38%,SOS1;MAPK1;MAPK3;GRB2;PTPN11;ERBB2
prerank,Insulin Signaling WP481,0.708144117,1.681854766,0.005861665,0.012410261,0.073,10/160,21.79%,SOS1;MAPK1;MAPK3;GAB1;CBLB;INPPL1;GRB2;PTPN11;CBLC;PRKCD
prerank,MET in type 1 papillary renal cell carcinoma WP4205,0.739628948,1.675254506,0.001183432,0.012728473,0.081,Jun-59,14.96%,SOS1;MAPK1;MAPK3;GAB1;GRB2;PTPN11
prerank,Nuclear Receptors Meta-Pathway WP2882,-0.615946323,-1.670304515,0.063926941,0.198180637,0.268882175,3/319,8.97%,CDK1;IRS2;SRC
prerank,BDNF-TrkB Signaling WP3676,0.871874373,1.66567151,0,0.014014308,0.091,May-34,12.82%,SOS1;MAPK1;GAB1;GAB2;GRB2
prerank,IL-4 signaling pathway WP395,0.79013967,1.651953497,0.001259446,0.015995447,0.104,Jun-54,14.96%,SOS1;MAPK1;MAPK3;GAB2;GRB2;PTPN11
prerank,PDGF Pathway WP2526,0.803718618,1.643590699,0.006369427,0.017728944,0.116,Jul-40,17.95%,SOS1;MAPK1;MAPK3;GRB2;PTPN11;WASL;RASA1
prerank,IL-6 signaling pathway WP364,0.784157903,1.643475767,0.002531646,0.016825116,0.117,Jun-43,14.96%,SOS1;MAPK1;MAPK3;GAB1;GRB2;PTPN11
prerank,Alpha 6 Beta 4 signaling pathway WP244,0.708417929,1.642364317,0.0094451,0.016021712,0.118,Jun-33,14.96%,SOS1;MAPK1;MAPK3;GAB1;GRB2;PTPN11
