Date Time,Elapsed,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP Reporter-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP KO-ECR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP Reporter-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP KO-EXR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP Reporter-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP KO-EDR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP Reporter-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP KO-ETR,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP Reporter-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP KO-ETC,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP Reporter-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP KO-ETD,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP Reporter-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP KO-ETX,YAP Reporter-EA,YAP Reporter-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA,YAP Reporter-EA,YAP KO-EA,YAP KO-EA,YAP KO-EA
1/10/23 17:31,0,0.3848715,1.675385,1.010776,1.229017,0.8338,1.63383,0.9795673,1.218637,0.9246783,1.925826,2.245377,2.122982,1.096516,2.137665,1.780895,0.9659261,1.598711,2.250379,1.454498,1.501584,1.272092,1.978871,1.937094,1.120793,0.97646,1.949505,1.820657,1.851064,1.404338,1.214028,1.829399,1.846625,1.351839,1.979298,1.683495,3.157319,1.974432,2.53476,2.124655,1.431398,1.270829,1.864432,2.078046,1.574758,2.644111,1.818762,1.20952,1.121476,1.584848,3.017766,2.232265,2.379671,2.706307,2.166227,1.932364,1.320613,2.142035,2.191922,2.791398,2.730414,3.15416,2.550313,1.260619,1.368434,1.666849,2.320565,1.980424
1/10/23 21:31,4,0.2724302,1.804711,0.9807452,1.127861,1.138942,1.569858,0.9954621,1.540835,1.091121,2.247186,2.783152,2.387371,1.294406,2.389539,1.77859,1.223435,1.91717,2.346567,1.536447,1.611789,1.35411,2.050542,2.253179,1.069131,0.9734381,2.071456,1.796943,2.156018,1.511913,1.522106,2.207697,2.244352,1.415008,1.836501,1.760868,3.32581,2.205768,2.7179,2.181968,1.607248,1.365719,2.004565,2.257055,1.716206,2.979096,1.952442,1.388921,1.443452,1.794024,3.24398,2.530475,2.41566,3.331854,2.399851,2.096349,1.401982,2.503415,2.401541,2.652596,3.020361,3.618317,2.618229,1.361297,1.593026,2.096143,2.353635,2.044071
1/11/23 1:31,8,0.4805302,1.990788,1.064197,1.459568,1.196835,2.284149,1.330464,1.895095,1.399882,2.710951,3.064528,3.100552,1.463734,3.133485,2.335384,1.520347,1.930708,2.438623,1.74931,1.82834,1.514679,2.392885,2.39729,1.173702,1.384636,2.838553,2.062083,3.050614,2.027306,1.722062,2.728058,2.86476,1.842801,2.364015,2.404802,3.636312,2.343972,3.516615,2.682303,1.761995,1.593367,2.341547,2.767206,2.1763,3.826247,2.412143,1.633045,1.853352,2.227809,4.211801,3.212293,3.069667,4.146276,2.895183,2.347353,1.591285,2.862506,3.101798,3.175143,3.294788,4.273827,3.546783,1.839284,2.026777,2.515775,2.833226,2.558047
1/11/23 5:31,12,0.8909425,2.306241,1.111676,1.651125,1.265058,2.417197,1.695872,2.202404,1.782841,3.426949,3.675238,4.114982,1.830577,3.557846,2.996135,2.017131,1.993007,2.544662,1.976976,1.813026,1.684092,2.800464,2.604161,1.213242,1.693482,3.70235,3.05157,3.199113,2.420595,2.136077,3.161672,3.537529,1.972571,2.983893,2.960777,4.617484,2.62458,4.029618,3.408391,2.084056,1.529806,2.422029,3.218866,2.381088,3.906847,2.225077,1.73584,1.894326,2.824502,5.250867,4.038598,3.69202,5.024158,3.60116,3.093723,1.780997,3.579989,4.033886,4.237479,3.583165,4.990064,4.126438,2.055357,2.557433,3.135175,3.234556,2.938804
1/11/23 9:31,16,0.8511971,2.738063,1.193575,2.08981,1.578019,3.118683,1.901309,2.148028,2.017438,3.800979,4.216274,4.575605,2.354369,4.065231,3.565853,2.281895,1.912611,2.729236,2.03813,1.745605,1.813436,2.84726,2.627858,1.775005,2.045318,4.550474,3.609696,3.657056,2.795359,2.338338,3.449741,3.996462,2.326489,3.280277,3.279423,5.498303,2.83058,4.40066,3.636432,2.409275,1.684161,2.200458,3.218183,2.276261,3.928461,2.982476,2.032821,2.255706,3.462136,6.063617,4.615539,4.219347,5.677908,4.092241,3.320603,2.018787,4.00377,4.672561,5.19171,4.303926,5.399212,4.648898,2.462628,2.998183,3.527251,4.090004,3.335593
1/11/23 13:31,20,0.8104103,3.224927,1.423186,2.302946,1.460951,3.723332,2.384469,2.018667,2.355376,4.483805,5.128387,4.97381,2.758089,4.688285,4.073648,2.949816,1.611584,2.83799,2.25842,2.105465,2.159774,2.993095,3.078647,2.777244,2.358057,5.06701,3.917603,4.012664,3.326169,2.640987,3.994618,4.584978,2.570613,3.394852,3.531912,6.144371,3.483187,4.396085,3.798077,2.636702,1.860368,2.038728,2.830973,2.381634,4.399073,2.97196,2.043286,1.967517,3.757273,7.064097,5.28392,4.751643,7.247853,4.197614,3.546168,2.427867,4.589639,5.437251,6.058972,5.067198,6.486901,5.399981,2.82247,3.36045,4.233603,4.808495,4.087529
1/11/23 17:31,24,0.9214003,3.602098,1.757761,2.428687,1.750676,3.995933,2.821515,2.301136,2.452094,5.394073,5.446504,5.622576,2.634602,5.358579,4.26908,2.86645,2.216882,3.270665,2.702432,2.428841,2.792474,3.497801,3.937254,2.443182,2.690122,5.828337,4.364995,4.741808,3.765092,3.201042,4.898007,4.956754,2.845399,4.189265,3.886224,7.122196,3.723401,5.151691,4.102996,2.686451,2.21159,2.183607,3.158036,2.333677,5.587166,3.725671,2.077637,2.991218,4.389068,8.025124,6.265365,5.495622,8.016895,5.168662,4.084694,2.726146,5.700666,6.132522,6.85651,5.696945,8.204849,6.739834,3.303171,3.753244,5.008314,5.207212,4.839037
1/11/23 21:31,28,0.9552727,3.947464,1.729113,2.69562,1.665705,3.95209,2.410692,2.47265,2.781513,5.823504,5.649961,6.152139,2.955553,5.495844,4.001055,2.880432,2.36142,3.532988,3.617857,2.688364,2.933887,3.634281,3.793569,2.397751,3.017373,6.075397,4.586839,5.513805,3.964997,3.249102,5.160484,5.364913,3.335063,4.593583,4.689959,8.476715,4.358712,5.404949,4.473817,2.565303,2.633475,2.543314,3.834083,2.758311,6.321552,4.057258,3.044809,4.061203,4.868915,8.801713,6.911484,6.555705,8.474463,5.62891,4.095126,2.55424,6.211262,6.719826,7.695893,6.133239,9.186535,7.297739,3.786314,4.261483,5.539021,5.869874,5.300617
1/12/23 1:31,32,1.008028,4.03375,1.838225,2.61338,1.682521,3.458192,2.61659,2.621729,2.88704,6.063394,5.868116,6.380914,3.073577,5.345297,4.466475,3.088806,2.391861,4.434635,3.709128,3.051092,3.386998,4.149588,4.598466,2.272915,3.091127,5.770579,4.828674,5.522512,4.590851,4.027706,5.565654,5.482698,3.405232,4.343484,4.895139,8.74959,4.548562,6.371593,5.356838,3.387903,2.924582,3.118034,5.009424,3.605616,6.73263,4.768919,3.947788,3.472226,5.014358,9.414745,7.019862,6.95577,9.824099,6.405993,4.646525,3.388143,6.64969,7.843469,8.50521,6.578036,9.471889,8.269487,4.051949,4.854267,5.905983,6.795287,5.891148
1/12/23 5:31,36,0.8541507,4.104533,1.931664,2.643991,1.681429,3.067157,2.201243,2.268817,2.87992,6.076421,6.074543,6.715506,2.805654,5.960753,4.370066,3.433727,2.55173,4.971079,3.177396,3.555166,4.370287,4.189624,5.979755,2.209097,3.398557,6.158541,4.798524,5.897789,5.804981,4.407643,5.39952,4.835162,3.168518,4.386251,5.22927,8.542804,5.466616,5.138084,4.200823,4.147386,2.581625,3.468572,5.489903,3.427188,8.530717,4.489233,3.940447,1.576517,5.228178,9.769073,7.100343,7.116204,11.57056,9.357552,5.19031,3.159965,7.340676,8.541574,9.029003,6.296301,10.36247,8.544785,4.143664,5.536239,5.907537,7.41747,5.736502
