Elapsed,UT,UT,E-500,E-500,E-67,E-67,E-500;R428-67,E-500;R428-67,E-125,E-125,E-500;R428-125,E-500;R428-125,E-250,E-250,E-500;R428-250,E-500;R428-250,E-500,E-500,E-500;R428-500,E-500;R428-500,E-1000,E-1000,E-500;R428-1000,E-500;R428-1000,AF154,AF154,E-1000,E-1000,E-67+AF154,E-67+AF154,E-1000;R428-67,E-1000;R428-67,E-125+AF154,E-125+AF154,E-1000;R428-125,E-1000;R428-125,E-250+AF154,E-250+AF154,E-1000;R428-250,E-1000;R428-250,E-500+AF154,E-500+AF154,E-1000;R428-500,E-1000;R428-500,E-1000+AF154,E-1000+AF154,E-1000;R428-1000,E-1000;R428-1000
0,1.64128,1.413311,1.314153,1.032179,1.351822,1.339571,1.314003,1.118731,1.49216,1.292491,1.562131,1.225402,1.535675,1.475142,1.211607,0.8840554,1.55746,1.830187,1.447034,1.156591,1.478557,1.400473,1.305275,1.146935,1.85159,1.869714,1.542094,1.070449,1.457359,1.5765,1.42742,1.040688,1.542081,1.454504,1.417696,1.040087,1.524858,1.330447,1.155143,1.000423,1.500765,1.434413,1.512852,1.109457,1.13747,0.8499918,0.9761664,0.8323044
3,1.743567,1.609675,1.420605,1.108023,1.47308,1.377909,1.463874,1.236997,1.656277,1.449137,1.681832,1.338737,1.622678,1.586962,1.332632,0.9737762,1.693277,2.022618,1.594296,1.216783,1.62541,1.536809,1.462522,1.316106,1.972848,1.982845,1.662123,1.260162,1.60021,1.731862,1.598612,1.149093,1.683293,1.592275,1.519217,1.116395,1.702551,1.474705,1.331512,1.127513,1.730428,1.529775,1.666616,1.231193,1.252609,0.9739674,1.070476,0.9290455
6,1.947238,1.686257,1.622965,1.34894,1.767974,1.657507,1.652958,1.376052,1.945968,1.67645,2.042627,1.543365,1.965349,1.870097,1.544908,1.140106,1.962317,2.309673,1.889232,1.411782,1.862803,1.741778,1.652385,1.542368,2.240221,2.312159,1.967657,1.397399,1.885353,2.027303,1.780526,1.315382,1.97771,1.829504,1.794512,1.322047,1.989456,1.645747,1.523506,1.334913,2.075462,1.837303,1.904392,1.549374,1.475729,1.053854,1.278832,1.119332
9,2.157643,1.899448,1.888358,1.523806,2.03196,1.93582,2.025322,1.620916,2.282588,1.946787,2.378401,1.782097,2.303076,2.25881,1.851508,1.390434,2.382485,2.784937,2.251707,1.734075,2.203016,2.176737,1.929414,1.755067,2.538953,2.602983,2.330542,1.623334,2.195531,2.427775,2.13564,1.485085,2.396361,2.249494,2.133714,1.577674,2.232845,1.904283,1.866108,1.600989,2.384902,2.049825,2.382143,1.890816,1.752991,1.247132,1.647468,1.24944
12,2.517906,2.245206,2.165688,1.773178,2.316597,2.204545,2.323085,1.876434,2.605222,2.212344,2.717548,2.028259,2.696965,2.507594,2.207891,1.473121,2.757867,3.310151,2.633167,1.996654,2.573645,2.551013,2.25127,2.119468,2.874959,2.908148,2.683197,1.886159,2.493758,2.706922,2.445162,1.702702,2.690874,2.628114,2.439972,1.742706,2.590021,2.299607,2.099022,1.815505,2.69187,2.275513,2.687664,2.051805,1.962904,1.489606,1.857326,1.503332
15,2.712481,2.489852,2.382088,1.998757,2.484429,2.433799,2.669921,2.126748,2.932337,2.421629,3.067827,2.254739,3.051464,2.866641,2.392127,1.565737,3.148492,3.74384,3.021757,2.19829,2.924893,2.839352,2.401701,2.232135,3.249781,3.143534,2.984102,2.052775,2.692389,2.911153,2.729745,1.849951,2.959858,2.759888,2.699273,1.910866,2.763344,2.536713,2.325885,1.97241,3.000519,2.52666,2.824792,2.179551,2.134247,1.566898,1.924511,1.626516
18,2.949164,2.732941,2.563128,2.160252,2.839352,2.576022,2.780239,2.217753,3.080925,2.681709,3.352054,2.43608,3.100019,3.167435,2.508331,1.719829,3.37011,3.876939,3.179797,2.347793,3.161713,3.024243,2.626215,2.397686,3.608023,3.364497,3.268589,2.162588,2.964666,3.124249,3.115412,2.052762,3.125751,3.046274,2.85846,2.066488,3.072361,2.856493,2.54626,2.147618,3.32889,2.838956,3.151551,2.294553,2.316898,1.68679,2.089516,1.672981
21,3.092439,2.79204,3.099528,2.206758,2.993703,2.806476,2.995848,2.337631,3.3753,2.826691,3.531441,2.668925,3.304483,3.305466,2.711771,1.813879,3.56097,4.128128,3.322334,2.403969,3.292887,3.216045,2.793501,2.553362,3.811038,3.667955,3.599063,2.307692,3.219651,3.402699,3.310834,2.115931,3.37907,3.258263,3.119523,2.158558,3.30634,3.066952,2.709995,2.22312,3.58561,3.189043,3.232545,2.426874,2.490726,1.783476,2.129944,1.732709
24,3.315614,3.206512,2.99089,2.395228,3.248552,3.029324,3.255996,2.509247,3.668733,2.952046,3.687541,2.864264,3.5799,3.528846,2.888221,1.985263,3.863527,4.41734,3.52789,2.585992,3.51725,3.437937,2.937363,2.619468,3.978789,4.021784,3.878032,2.350347,3.596577,3.742584,3.492652,2.160907,3.684113,3.638931,3.335623,2.325147,3.48656,3.382867,2.927625,2.408613,3.785033,3.344351,3.577073,2.586538,2.767318,1.974978,2.239702,1.793747
27,3.829846,3.444424,3.183334,2.496121,3.489729,3.363623,3.541862,2.666671,3.939303,3.199028,4.038065,3.131638,3.798459,3.89348,3.114374,2.146935,4.152767,4.722096,3.825953,2.831307,3.716619,3.691529,3.020993,2.892387,4.370984,4.409636,4.153272,2.57721,3.869509,3.933156,3.854963,2.406878,4.020938,3.875682,3.607326,2.514122,4.005531,3.713724,3.138276,2.612667,4.172804,3.725169,3.809413,2.82441,3.083247,2.131692,2.369195,1.889177
30,4.10637,3.732108,3.299538,2.731234,3.764341,3.591441,3.715281,2.859771,4.263945,3.510093,4.344146,3.262402,4.187391,4.15315,3.304414,2.245752,4.422435,5.166344,4.072211,2.883236,3.999084,3.898192,3.24018,2.959176,4.843176,4.937718,4.418993,2.808457,4.144996,4.319738,4.109908,2.533777,4.412395,4.324096,3.818933,2.634178,4.307487,4.011897,3.453725,2.734566,4.481397,3.972861,4.098489,2.976371,3.460514,2.314808,2.473639,1.957222
