ENSEMBL1,ENSEMBL2,SYMBOL
ENST00000456328.2,ENSG00000223972.5,DDX11L1
ENST00000450305.2,ENSG00000223972.5,DDX11L1
ENST00000488147.1,ENSG00000227232.5,WASH7P
ENST00000619216.1,ENSG00000278267.1,MIR6859-1
ENST00000473358.1,ENSG00000243485.5,MIR1302-2HG
ENST00000469289.1,ENSG00000243485.5,MIR1302-2HG
ENST00000607096.1,ENSG00000284332.1,MIR1302-2
ENST00000417324.1,ENSG00000237613.2,FAM138A
ENST00000461467.1,ENSG00000237613.2,FAM138A
ENST00000606857.1,ENSG00000268020.3,OR4G4P
ENST00000642116.1,ENSG00000240361.2,OR4G11P
ENST00000492842.2,ENSG00000240361.2,OR4G11P
ENST00000641515.2,ENSG00000186092.6,OR4F5
ENST00000335137.4,ENSG00000186092.6,OR4F5
ENST00000466430.5,ENSG00000238009.6,AL627309.1
ENST00000477740.5,ENSG00000238009.6,AL627309.1
ENST00000471248.1,ENSG00000238009.6,AL627309.1
ENST00000610542.1,ENSG00000238009.6,AL627309.1
ENST00000453576.2,ENSG00000238009.6,AL627309.1
ENST00000495576.1,ENSG00000239945.1,AL627309.3
ENST00000442987.3,ENSG00000233750.3,CICP27
ENST00000494149.2,ENSG00000268903.1,AL627309.6
ENST00000595919.1,ENSG00000269981.1,AL627309.7
ENST00000493797.1,ENSG00000239906.1,AL627309.2
ENST00000484859.1,ENSG00000241860.6,AL627309.5
ENST00000490997.5,ENSG00000241860.6,AL627309.5
ENST00000466557.6,ENSG00000241860.6,AL627309.5
ENST00000491962.1,ENSG00000241860.6,AL627309.5
ENST00000410691.1,ENSG00000222623.1,RNU6-1100P
ENST00000496488.1,ENSG00000241599.1,AL627309.4
ENST00000624431.2,ENSG00000279928.2,FO538757.1
ENST00000623083.4,ENSG00000279457.4,WASH9P
ENST00000612080.1,ENSG00000273874.1,MIR6859-2
ENST00000442116.1,ENSG00000228463.10,AP006222.1
ENST00000448958.2,ENSG00000228463.10,AP006222.1
ENST00000441866.2,ENSG00000228463.10,AP006222.1
ENST00000634344.2,ENSG00000228463.10,AP006222.1
ENST00000450734.1,ENSG00000228463.10,AP006222.1
ENST00000424587.7,ENSG00000228463.10,AP006222.1
ENST00000458203.2,ENSG00000236679.2,RPL23AP24
ENST00000450983.1,ENSG00000236601.2,AL732372.1
ENST00000412666.1,ENSG00000236601.2,AL732372.1
ENST00000635159.1,ENSG00000236601.2,AL732372.1
ENST00000431321.2,ENSG00000237094.12,AL732372.2
ENST00000453935.1,ENSG00000237094.12,AL732372.2
ENST00000440163.1,ENSG00000237094.12,AL732372.2
ENST00000455207.5,ENSG00000237094.12,AL732372.2
ENST00000455464.7,ENSG00000237094.12,AL732372.2
ENST00000601814.5,ENSG00000237094.12,AL732372.2
ENST00000445840.2,ENSG00000237094.12,AL732372.2
ENST00000431812.1,ENSG00000237094.12,AL732372.2
ENST00000419160.4,ENSG00000237094.12,AL732372.2
ENST00000440038.7,ENSG00000237094.12,AL732372.2
ENST00000642074.1,ENSG00000237094.12,AL732372.2
ENST00000423728.6,ENSG00000237094.12,AL732372.2
ENST00000616311.5,ENSG00000237094.12,AL732372.2
ENST00000599771.6,ENSG00000237094.12,AL732372.2
ENST00000641845.1,ENSG00000237094.12,AL732372.2
ENST00000641916.1,ENSG00000237094.12,AL732372.2
ENST00000601486.5,ENSG00000237094.12,AL732372.2
ENST00000641579.1,ENSG00000237094.12,AL732372.2
ENST00000616947.2,ENSG00000237094.12,AL732372.2
ENST00000432964.1,ENSG00000237094.12,AL732372.2
ENST00000608420.1,ENSG00000237094.12,AL732372.2
ENST00000641303.1,ENSG00000237094.12,AL732372.2
ENST00000641063.1,ENSG00000237094.12,AL732372.2
ENST00000641049.1,ENSG00000237094.12,AL732372.2
ENST00000642124.1,ENSG00000237094.12,AL732372.2
ENST00000437905.2,ENSG00000269732.1,WBP1LP7
ENST00000426406.3,ENSG00000284733.1,OR4F29
ENST00000432723.3,ENSG00000233653.3,CICP7
ENST00000514436.1,ENSG00000250575.1,AL732372.3
ENST00000614007.1,ENSG00000278757.1,RF00026
ENST00000634833.2,ENSG00000230021.10,AL669831.3
ENST00000417636.2,ENSG00000230021.10,AL669831.3
ENST00000419394.2,ENSG00000230021.10,AL669831.3
ENST00000440196.3,ENSG00000230021.10,AL669831.3
ENST00000641296.1,ENSG00000230021.10,AL669831.3
ENST00000357876.6,ENSG00000230021.10,AL669831.3
ENST00000635509.2,ENSG00000230021.10,AL669831.3
ENST00000634337.2,ENSG00000230021.10,AL669831.3
ENST00000648019.1,ENSG00000230021.10,AL669831.3
ENST00000440200.5,ENSG00000230021.10,AL669831.3
ENST00000452176.2,ENSG00000230021.10,AL669831.3
ENST00000441245.5,ENSG00000230021.10,AL669831.3
ENST00000414688.6,ENSG00000230021.10,AL669831.3
ENST00000636676.1,ENSG00000230021.10,AL669831.3
ENST00000447954.2,ENSG00000230021.10,AL669831.3
ENST00000423796.1,ENSG00000235146.2,AC114498.1
ENST00000450696.1,ENSG00000235146.2,AC114498.1
ENST00000416931.1,ENSG00000225972.1,MTND1P23
ENST00000457540.1,ENSG00000225630.1,MTND2P28
ENST00000414273.1,ENSG00000237973.1,MTCO1P12
ENST00000621981.1,ENSG00000278791.1,AC114498.2
ENST00000427426.1,ENSG00000229344.1,MTCO2P12
ENST00000467115.1,ENSG00000240409.1,MTATP8P1
ENST00000514057.1,ENSG00000248527.1,MTATP6P1
ENST00000416718.2,ENSG00000198744.5,MTCO3P12
ENST00000438434.2,ENSG00000268663.1,WBP1LP6
ENST00000332831.4,ENSG00000284662.1,OR4F16
ENST00000440782.3,ENSG00000229376.3,CICP3
ENST00000506640.2,ENSG00000228327.3,AL669831.1
ENST00000428504.2,ENSG00000228327.3,AL669831.1
ENST00000411249.1,ENSG00000223181.1,RNU6-1199P
ENST00000422528.1,ENSG00000229905.1,AL669831.2
ENST00000434264.6,ENSG00000237491.9,AL669831.5
ENST00000457084.1,ENSG00000237491.9,AL669831.5
ENST00000651411.1,ENSG00000237491.9,AL669831.5
ENST00000589899.5,ENSG00000237491.9,AL669831.5
